,Symbol,Name,Country,Sector,Market Cap,Bool
47,ACIW,ACI Worldwide Inc. Common Stock,United States,Technology,2944202285.0,1
818,CEVA,CEVA Inc. Common Stock,United States,Technology,687050158.0,1
944,CMTL,Comtech Telecommunications Corp. Common Stock,United States,Technology,345524844.0,1
979,COMM,CommScope Holding Company Inc. Common Stock,United States,Technology,1354271984.0,1
1001,CPSI,Computer Programs and Systems Inc. Common Stock,United States,Technology,426578700.0,1
1035,CRUS,Cirrus Logic Inc. Common Stock,United States,Technology,5773268599.0,1
1044,CSGS,CSG Systems International Inc. Common Stock,United States,Technology,1665723223.0,1
1089,CVLT,Commvault Systems Inc. Common Stock,United States,Technology,2495876146.0,1
1140,DCT,Duck Creek Technologies Inc. Common Stock,United States,Technology,2522218207.0,1
1153,DGII,Digi International Inc. Common Stock,United States,Technology,1164885456.0,1
1169,DIOD,Diodes Incorporated Common Stock,United States,Technology,4141113083.0,1
1186,DMRC,Digimarc Corporation Common Stock,United States,Technology,366257257.0,1
1218,DSGX,Descartes Systems Group Inc. (The) Common Stock,Canada,,6701469706.0,1
1258,EBIX,Ebix Inc. Common Stock,United States,Technology,447797497.0,1
1353,ERII,Energy Recovery Inc. Common Stock,United States,Technology,1228551560.0,1
1380,EVBG,Everbridge Inc. Common Stock,United States,Technology,1330719881.0,1
1410,EXTR,Extreme Networks Inc. Common Stock,United States,Telecommunications,2370497554.0,1
1534,FORM,FormFactor Inc. FormFactor Inc. Common Stock,United States,Technology,2266078530.0,1
2418,LSCC,Lattice Semiconductor Corporation Common Stock,United States,Technology,12781373352.0,1
2431,LTRPA,Liberty TripAdvisor Holdings Inc. Series A Common Stock,United States,Technology,65400321.0,1
2472,MANH,Manhattan Associates Inc. Common Stock,United States,Technology,9204406609.0,1
2479,MARA,Marathon Digital Holdings Inc. Common Stock,United States,Finance,1036391103.0,1
2487,MAT,Mattel Inc. Common Stock,United States,Consumer Discretionary,5911417654.0,1
2535,MDRX,Veradigm Inc. Common Stock,United States,Technology,1460803205.0,1
2572,MGRC,McGrath RentCorp Common Stock,United States,Consumer Discretionary,2294388075.0,1
2580,MIDD,Middleby Corporation (The) Common Stock,United States,Industrials,7572251347.0,1
2590,MITK,Mitek Systems Inc. Common Stock,United States,Technology,403464274.0,1
2692,MTSI,MACOM Technology Solutions Holdings Inc. Common Stock,United States,Technology,5076645854.0,1
2722,NATI,National Instruments Corporation Common Stock,United States,Technology,6689026253.0,1
2769,NH,NantHealth Inc. Common Stock,United States,Health Care,14559332.0,1
2825,NTCT,NetScout Systems Inc. Common Stock,United States,Technology,2023843427.0,1
2830,NTNX,Nutanix Inc. Class A Common Stock,United States,Technology,5923046741.0,1
2850,NVEC,NVE Corporation Common Stock,United States,Technology,366804618.0,1
2875,NXGN,NextGen Healthcare Inc. Common Stock,United States,Health Care,1162639601.0,1
2946,OMCL,Omnicell Inc. Common Stock ($0.001 par value),United States,Health Care,2624964211.0,1
3000,OSIS,OSI Systems Inc. Common Stock (DE),United States,Technology,1664273843.0,1
3082,PCTY,Paylocity Holding Corporation Common Stock,United States,Technology,10163473408.0,1
3090,PDFS,PDF Solutions Inc. Common Stock,United States,Technology,1517746836.0,1
3098,PEGA,Pegasystems Inc. Common Stock,United States,Technology,3899992775.0,1
3652,SLAB,Silicon Laboratories Inc. Common Stock,United States,Technology,5624775709.0,1
3674,SLP,Simulations Plus Inc. Common Stock,United States,Technology,880878492.0,1
3684,SMCI,Super Micro Computer Inc. Common Stock,United States,Technology,5806222354.0,1
3692,SMTC,Semtech Corporation Common Stock,United States,Technology,1966202053.0,1
3759,SPSC,SPS Commerce Inc. Common Stock,United States,Technology,5350032026.0,1
3763,SPWR,SunPower Corporation Common Stock,United States,Technology,2384558562.0,1
3791,SSYS,Stratasys Ltd. Ordinary Shares (Israel),United States,Technology,974378560.0,1
3858,SYNA,Synaptics Incorporated Common Stock $0.001 Par Value,United States,Technology,4335109430.0,1
3909,TCX,Tucows Inc. Class A Common Stock,Canada,Technology,252005139.0,1
4004,TRIP,TripAdvisor Inc. Common Stock,United States,,2719207404.0,1
4018,TRUE,TrueCar Inc. Common Stock,United States,Technology,194730084.0,1
4034,TTEC,TTEC Holdings Inc. Common Stock,United States,Technology,1752788100.0,1
4037,TTMI,TTM Technologies Inc. Common Stock,United States,Technology,1309261102.0,1
4053,TWOU,2U Inc. Common Stock,United States,Consumer Discretionary,578148477.0,1
4070,UCTT,Ultra Clean Holdings Inc. Common Stock,United States,Technology,1406301204.0,1
4095,UPLD,Upland Software Inc. Common Stock,United States,Technology,145861222.0,1
4145,VECO,Veeco Instruments Inc. Common Stock,United States,Technology,1068100366.0,1
4166,VIAV,Viavi Solutions Inc. Common Stock,United States,Technology,2389384846.0,1
