Symbol,Name,Market Cap,Country,IPO Year,Volume,Sector,Industry
AACG,ATA Creativity Global American Depositary Shares,59616148,China,2008,5619,Consumer Discretionary,Service to the Health Industry
AACI,Armada Acquisition Corp. I Common Stock,208958855,United States,2021,52,Industrials,Consumer Electronics/Appliances
AACIW,Armada Acquisition Corp. I Warrant,0,United States,2021,1453,Industrials,Consumer Electronics/Appliances
AADI,Aadi Bioscience Inc. Common Stock,187842401,United States,,140770,Health Care,Biotechnology: Pharmaceutical Preparations
AAL,American Airlines Group Inc. Common Stock,9349732165,United States,,17788580,Consumer Discretionary,Air Freight/Delivery Services
AAME,Atlantic American Corporation Common Stock,50510728,United States,,2547,Finance,Life Insurance
AAOI,Applied Optoelectronics Inc. Common Stock,69552782,United States,2013,50664,Technology,Semiconductors
AAON,AAON Inc. Common Stock,4876801557,United States,,377508,Industrials,Industrial Machinery/Components
AAPL,Apple Inc. Common Stock,2.76149E+12,United States,1980,73938285,Technology,Computer Manufacturing
ABCB,Ameris Bancorp Common Stock,2674870568,United States,1994,566664,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,2180085254,Canada,2020,1037252,Health Care,Pharmaceuticals and Biotechnology
ABCM,Abcam plc American Depositary Shares,3163952317,United Kingdom,2020,382732,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABEO,Abeona Therapeutics Inc. Common Stock,42080708,United States,,99839,Health Care,Biotechnology: Pharmaceutical Preparations
ABIO,ARCA biopharma Inc. Common Stock,30405402,United States,,82301,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABNB,Airbnb Inc. Class A Common Stock,73768593176,United States,2020,5374445,Consumer Discretionary,Hotels/Resorts
ABOS,Acumen Pharmaceuticals Inc. Common Stock,158790102,United States,2021,91289,Health Care,Biotechnology: Pharmaceutical Preparations
ABSI,Absci Corporation Common Stock,161691091,United States,2021,578317,Health Care,Biotechnology: Pharmaceutical Preparations
ABST,Absolute Software Corporation Common Stock,400873446,Canada,2020,23329,,
ABUS,Arbutus Biopharma Corporation Common Stock,477225000,Canada,,621611,Health Care,Pharmaceuticals and Biotechnology
ABVC,ABVC BioPharma Inc. Common Stock,21211014,United States,,25411,Health Care,Biotechnology: Pharmaceutical Preparations
ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,388312500,United States,2022,259019,Industrials,Consumer Electronics/Appliances
ACABU,Atlantic Coastal Acquisition Corp. II Unit,0,United States,2022,300,Industrials,Consumer Electronics/Appliances
ACABW,Atlantic Coastal Acquisition Corp. II Warrant,0,United States,2022,500,Industrials,Consumer Electronics/Appliances
ACAC,Acri Capital Acquisition Corporation Class A Common Stock,113095313,United States,2022,48,Industrials,Consumer Electronics/Appliances
ACACU,Acri Capital Acquisition Corporation Unit,0,United States,2022,10,Industrials,Consumer Electronics/Appliances
